,Verification Status,review,sentiment
15,Trip Verified,my son and i flew to geneva last sunday for a skiing holiday in les arc the flight was cancelled moments prior to boarding and we were transferred to a flight departing three and a half hours later that then got delayed by a further three hours they didnt load any food on to the plane and forgot to load the baggage for all the business class passengers who had been on the earlier flight problems happen its a complex operation what is totally unacceptable is the service one receives when there is a problem the offshore call centres are unhelpful and obstructive wanting to fob off issues by getting the customer to call special help lines that merely refer one to a webpage and then cut off the web pages are often unable to give information as they are not updated and often refuse to update your inputs at this time please try again later there is no access to people that are willing to help empowered to help or actually move a situation forwards in any way weve been sitting in a hotel waiting for the bag to arrive for two and a half days unable to ski due to our entire wardrobes being in the cases the outdated luggage tracking system had the suitacase in geneva days ago where it sat with noone willing to step up and get it delivered what an incredibly heartless and incompetent company,negative
16,Trip Verified,for the price paid bought during a sale it was a decent experience although the club class business class seats offer no more legroom than economy class using shorthaul fleet on a hour flight fast track through security was not honoured the lounge at istanbul airport was overcrowded as it is also open to the public who can pay for usage causing a long queue for entry which was badly organised boarding was smooth cabin crew were friendly but their service was hitandmiss eg some people got a welcome and some didn t half of the cabin was automatically offered coffee after dinner but not the other half however drinks were replenished generously and regularly and the meal was good with a choice of three mains from the menu,positive
17,Trip Verified,flight left on time and arrived over half an hour earlier than scheduled thanks to strong tail winds the flight was full but no catering had been loaded for economy passenger at heathrow so for and a half hours we only had a small bottle of water and a small packet of corn snacks nothing at all available to even buy to eat worse than a lowcost carrier experience in this sense one of the light panels overhead the seats towards the back of the plan was broken and loose and just hanging above the unfortunate passengers head for the whole flight poor maintenance of cabin i would choose another airline on this route in the future as one of their competitors offers full meal service on this route even in the economy cabin,negative
18,Trip Verified,very poor business class product ba is not even close to the other airline leaders which ever way they sell the seat on a it is a layout the cabin feels and is very cramped the food in business class is economy quality just served in a china dish however the price of course is at premier levels the only positive of the whole fight and return were the cabin crew who were fantastic i felt genuinely sorry for them having to try and flog such a poor product would i fly ba business again only if their were no other options and i had no choice,positive
20,Trip Verified,absolutely pathetic business class product ba is not even remotely competitive with other international airlines in the business class market with old outdated across seating no i did not make a typing mistake you either have to climb across someone or someone has to climb across you to gain aisle access the crew must also hate this layout since they have to reach through little window openings to provide service to passengers in the center seats ba like most other europeanbased airlines does not have a factual intraeuropean business class product even though they promote sell business class intraeurope flights feature the same seating throughout the aircraft the only difference being the middle seat is left empty in business class passengers get a meal drinks but this does not justify the higher cost bas transatlantic business class product is only slightly better because of the narrow across seating the biggest surprise on both the lislhr lhriah flights was that ba has in fact substantially improved their food quality shocking unfortunately it is served in the worst business class configurations of any international airline i have flown the entertainment system small screens my laptop screen is twice the size is like an airline offering decades ago the flight crew was pleasant perfunctory which is about the best one can expect from a ba crew ba will simply never match the quality of carriers like singapore emirates qatar etihad eva ana japan air new zealand qantas or many others ba can compete with usbased airlines like delta american united which are also not even in the same universe in terms of a highquality business class product one of the biggest slaps in the face is that ba expects business class passengers to pay to select seats even though they have paid thousands of dollars to fly business class several hundred us dollars for transatlantic flights only if you wait until hours before flight time are you allowed to select a seat at no cost certainly another ba management decision that was made without a functioning brain,negative
22,Trip Verified,this was our first flight with british airways in over years and as usual i couldn t fault them as we were connecting we had little interaction with ground staff staff in the lounge were friendly and helpful cabin crew on the flight were great very welcoming and friendly our meals were delicious no shortage of drinks being offered the seats were economy seats with the middle row blocked off and some recline we arrived into stockholm a little early through a snow shower which was a nice welcome back to stockholm bags checked in at jfk were delivered safely within mins of arriving,positive
23,Trip Verified,i recently encountered a highly disappointing experience with british airways specifically regarding their customer service after my initial flight leg was canceled i was rebooked with a connection at london heathrow reduced to a mere hour and minutes realizing the impracticality of this i promptly contacted british airways within minutes to request a more reasonable layover of hours shockingly the customer support representative flatly refused citing an inability to change my flight despite explaining the logistical challenges of a short layover and a terminal change requiring additional security procedures i received no assistance to add to the frustration the representative inaccurately noted on my account that i was presented with multiple options during our conversation moreover the use of military time format and the lack of initial options provided only exacerbated the communication issues both phone and email support proved equally incompetent and i was informed that customer service is outsourced to india allegedly contributing to the subpar service this experience has left me not only struggling to rebook my flight but also with a strong resolve to avoid british airways in the future the lack of assistance blameshifting and overall incompetence in customer service make it my worst experience yet i strongly advise others to steer clear of british airways and their appalling customer service,negative
25,Trip Verified,check in was chaotic and badly organised even though there were two desks one for premium and one economy there ended up being just one queue in front of the premium check in even though most passengers in it were economy that meant that those travelling in club or with higher status had no separate queue to join whilst i was waiting in line another passenger went up to query and we ended up forming a new line in front of the economy check in desk for premium passengers unnecessarily badly organised the staff in charge should be retrained security at the airport was very quick and through to the lounge this is a generic airport lounge for all airlines and it is actually quite good overall nice layout and seating options reasonable food and drink options and an outdoor terrace which is really nice boarding was very well organised although quite slow to get everyone on board but the flight was probably only half full and we still departed early so i think they felt no rush and it actually made the boarding experience nicer and more relaxed on board the club europe seats are fine by european business standards although as previously commented are really not very good overall the meal service was disappointing as is normal ba do not stock enough of the proper meal option when the options are so limited and varied in quality ba really should stock enough for everyone to have the good meal sadly they had run out by the time they got to me so i had the option of vegetarian sausage or a salad i wanted a hot meal so went for the sausage and i can honestly say it was one of the most disgusting onboard meals i ve ever had in any cabin class rolling some mush similar consistency to mashed potato into a sausage shape does not make it a sausage ba you need to improve the meal options make the vegetarian meal something you specifically have to request in advance and offer all passengers a choice of two decent meals then people will not be left with such a substandard alternative when their first choice runs out whilst i hadn t planned on using it the on board wifi was not functioning so was not available to use overall though the flight was fairly comfortable and the cabin crew were very friendly and efficient i used avios to pay for the flight so it was obviously good value for money for me,positive
28,Trip Verified,i was going to fly to frankfurt from glasgow over london but the flight from london to frankfurt was cancelled this meant i had to stay overnight in london where i have no accommodation etc as i was rebooked to a flight from london city airport which was more than h by train i had to get an uber and then take a hotel for in total london prices i was reassured over the phone that i would get all the money back my flight from london city airport was then cancelled again and rebooked to london heathrow but two days later i then cancelled that flight and rebooked a new one with lufthansa as i urgently had to get to work and needed the money i never received the money back for the hotel compensation for cancelled flight compensation for cancelled flight the extra food i had to pay for the uber or the actual cost of the flight i was first transferred by british airways they stopped replying to me and told me the issue was weather conditions although other nonba flights were going i lost over in total and never got compensated for the loss of a work day either it just really feels like they dont care about people worst serviceairline ever,positive
29,Trip Verified,much better experience this time around flew cpt to lhr on a new a checkin was efficient i used the bidvest lounge at cpt as it is better than bas lounge boarding was speedy the new business class club suites are very good slightly irritating to be directed to the wrong seat a instead of k which meant that after settling in the passenger in a showed up we arranged a seat switch second time in a row it has happened why cant ba staff memorise which side of the plane is which and get it right captains announcement was short and on point welcome drink was served at the correct temperature ie cold first time ever for me previously ba has always served the welcome champagne warm ife system was good everything worked as it should felt slightly cheap that business class passengers have to pay for wifi i did not bother cocktail was good the nuts came on a cheap plastic tray which was naff other airlines bring out something classier a female flight attendant came to take my order and i asked for rooibas panacotta and the chicken breast she repeated back to me so you want a p and a c it was such a bizarre thing to say that i misheard i thought she said so you want beef and sea confusion reigned until she explained to me she had a checklist of passenger orders and they abbreviate to first letters so she was saying p for panacotta and c for chicken but how bizarre to repeat back an order to a passenger in code why not just say so to confirm panacotta to start and chicken as your main dish like every other restaurant airline does in the world the internal coding of food ordering is exactly that internal she even looked irritated at me that i did not understand her jargon first time the food when it came was excellent much much better than recent flights i read somewhere that ba changed caterer if so it shows the panacotta was superb as was the chicken good restaurant quality the wine was ok to good but definitely not good to excellent i feel that while the food has got better in ba business class the wines have got worse certainly compared to air france which i have also flown recently the wine was brought out on time not afer i finished eating as it was lass time i flew ba business cheese was also good and not teeth crackingly cold as last time i had a good nights sleep plenty of snacks out if you wanted them and they did not run out breakfast was excellent and the coffee was hot previously it has been lukewarm so all in all a vastly improved service offering the staff seemed rushed off their feet it would not hurt to have an extra flight attendant to look after so many business class seats overall summary vastly improved passenger proposition it would be but i deduct a point for showing me to the wrong seat and another point for the bizarre interaction with the female flight attendant who repeated my food order back to me using internal jargon codes,positive
30,Trip Verified,once again a terrible business class experience with ba the flight was delayed by hours the plane was very old with problems with at least of the seats in business class not cleaned properly prior to departure food was terrible as always with ba and only one choice available from advertised menu as a result of the delay we missed our connecting flight from heathrow and instead of putting us on the next connection they chose the second last flight of the day which was also delayed by over an hour meaning we had an additional hour delay whilst at heathrow at no point were we advised about our compensation rights despite asking at check in and connections or provided any vouchers during the delays having flown etihad qatar and virgin business class equivalents over the last year it is clear to see how big the gulf now is between ba and its rivals,negative
31,Trip Verified,ba a s are showing their age hopefully they will update the interiors soon because it was a let down especially when the flight lasts hours cabin crew were good and helpful dinner was ok but the breakfast was grim on board entertainment was not the latest and seat back usb points didnt work the only upside of ba is that it is only of airlines who fly this route directly and their pricing reflects this if youre prepared to lay over then there are better airlines out there,positive
32,Trip Verified,credit to ba flew to singapore recently and also back from doha to london and both experiences were great service was fantastic as was the quality of the food entertainment and was left feeling ba have got it together after a few previous below average experiences you definitely notice the difference with the staff on ba far more approachable and outgoing compared to the cold and corporate middle eastern airline crews nice one ba for great flights,positive
33,Trip Verified,the check in area for premium classes at gatwick is very nice and there was no queue when i arrived so i was able to drop my bag very quickly premium security at gatwick is fine the flight was delayed due to nats issues but the member of staff on arriving at the lounge let me know of this the lounge is nicevand it very comfortable there was an excellent range of food and drinks all the drinks you would expect food wise there were sandwiches soup pasta salads fruit spanish stew as well as turkey and ham pies with mashed potato roasted parsnips and carrots and gravy it was all really good and particularly nice to see so many options boarding was pretty slow although the gate crew did a good job to keep it well organised and allow priority passengers to board first as has been well documented the onboard experience in terms of seat on ba europe business is pretty poor but in line with other european carriers sadly that being said the seat is well padded and comfortable and the adjustable headrest is quite good the on board catering was of excellent quality i was lucky to get my preferred option of the roast turkey but several people sat near me weren t as lucky i do understand that meal options may run out but when the meal options are roast turkey with all the trimmings vegetarian cottage pie or a chicken salad you really should be stocking enough for every passenger to get the proper meal or failing that allow an order in advance service where you then only stock the meals that people want to eat whilst i fully support the desire to minimise waste both food and cost people really should really be able to get the ideal meal option unfortunately one of the people affected reacted very badly to this and took it out on the cabin crew which is unacceptable they also lost a bit of perspective about just how serious a situation it actually was the cabin crew were very nice friendly and professional if a little slow but not to the point of detracting from the positive experience i had the ground service at gran canaria was pretty poor priority bags clearly meant nothing of bags coming out were not priority mine came out about halfway through bag delivery and demonstrates poor delivery of service and not fulfilling on the service they promise to their customers overall though it was a very nice flight and having paid for it using avios and i can not complain at all,positive
34,Trip Verified,the flight took off a little late due to heathrow congestion but still landed on schedule boarding was smooth and the onboard service was efficient a small snack was served for free with a bottle of water additional items were available for purchase the cabin and toilets were very clean overall an unremarkable flight but in a good way,positive
35,Trip Verified,ba is great in the air but they sell you connections thru london heathrow terminal their private baonly terminal which you are practically not able to make minutes stopover time european flight inbound transatlantic flight outbound you arrive at the terminal gate on time and book security endless line slow process your boarding starts and you are nowhere near the x ray and then it is a train ride withing the same terminal but different distant buildings almost impossible to make lots of stress,negative
36,Trip Verified,i had broken my leg days before our return flight from lisbon to london i called to get some assistance from british airways hoping for wheelchair assistance an easier seat to get to or possibly an upgrade so that i could stretch out my broken leg which was in a cast this airline failed on all fronts quoted us a price of each i was traveling with my husband which we could not do almost didnt let me on the plane trying to interpret my medical report they did not attempt to change our seats which were near the back the single concession they made was to allow me to board st but did not offer a wheelchair so i had to swing myself down the aisle to my seat using the arm rests of all rows before my seat as the aisles are not wide enough for crutches might i add i am nearly had to exit same way no wheelchair waiting for me at heathrow had to hop onto bus with crutches to change terminals and nearly took a tumble doing so took so long to get a wheelchair that they had to hold my connecting flight on another airline for me and we were last to board that flight had allowed us to upgrade to business class for a reasonable price and took great care of me,negative
37,Trip Verified,check in at mia straightforward ba use american flagship lounge near gate d which is excellent flight delayed but only by hours boarding chaotic on board staff were fine seat was fine too but product ageing post take off service prompt slept for hours i noticed that in club world ba have ditched rose champagne which is a shame pre arrival breakfast was ok slow to deplane luggage off ok,positive
38,Trip Verified,never i saw such a terrible customer experience the plane landed already minutes late despite any operational delays the boarding took over hour because the crew did not know where to place the luggages after this long hour boarding process the captain did not apologise this is extremely frustrating when this occurs on a night flight forcing passengers to lose train connections to home,negative
39,Trip Verified,having not flown with ba for a few years i read some of the reviews in preparation needless to say i boarded this flight with low expectations i was pleasantly surprised as the flight was ok we left lhr a few minutes early and arrived at jnb ahead of schedule cabin crew although not as good as some carriers were attentive and professional onboard catering was a disappointment as if you were unlucky to miss out on the chicken you were given a very sloppy pasta on board entertainment has never been bas strong point and sadly that hasnt changed unfortunately ba is not the prestigious carrier it once was but its not as bad from my experience as some reviews suggest,negative
40,Trip Verified,dear community i feel compelled to share the utter frustration and disappointment that defined my recent travel experience with british airways buckle up folks this ones a rollercoaster on july and i had the displeasure of flying with british airways on ba and ba and let me tell you it was a nightmare the initial flight from zurich zrh to london lhr on ba faced a seemingly unavoidable onehour delay upon arrival at lhr this of course resulted in me missing my connection to tokyo triggering an automatic rescheduling of my flight to tokyo hnd via beijing with air china oh but the fun didnt stop there flight ca was also delayed turning my hour delay into a grand total of hours finally arriving in tokyo at instead of the promised and the cherry on top my four checkedin suitcases decided to take a detour and didnt join me in tokyo forcing me to waste an additional two hours filling out forms at the baggage center i finally got my lost luggage back on july because why make it easy right but wait theres more my return flight from tokyo to zurich ba on august also danced to the delay tune making me question if punctuality is just a myth for british airways the cumulative impact of these delays torpedoed my vacation plans stealing a whole day of scheduled activities including a guided tokyo tour as if that werent enough i had to dig deeper into my pockets for unforeseen expenses extra airport transfers tour operator assistance fees emergency purchases airport meals and international calls for rearrangements the lack of assistance at lhr airport was the icing on this bitter cake installing the ba app just to get basic information about alternative connection flights was a hassle and the fact that no ba clerk could provide this info in person was downright infuriating british airways youve left me with a sour taste in my mouth and a dent in my wallet heres hoping you take this feedback seriously and step up your game because right now its not a good look frustrated and fed up bert,negative
41,Trip Verified,quick bag drop at first wing but too many passengers so had to use fast track security in main terminal direct entry to concorde room outside security south ate excellent breakfast which was served promptly concorde room is a nice place to wait for a flight there is some interesting memorabilia and an excellent bar boarding from c gates was disorganised and slow on board cabin crew excellent good choice of beverages and these were of high quality food was good seat comfortable no first bedding provided on time arrival into miami baggage took hour to arrive,positive
42,Trip Verified,hours before takeoff we received a mail stating a cryptic message that there are disruptions to be expected as there is a limit on how many planes can leave at the same time so did the capacity of the heathrow airport really hit british airways by surprise h before departure anyhow we took the one hour delay so what but then we have been forced to check in our hand luggage i travel only with hand luggage to avoid waiting for the ultra slow processing of the checked in luggage overall h later at home than planed with really no reason just due to incompetent people service level far worse then ryanair and triple the price really never again thanks for nothing,negative
43,Trip Verified,i recently had a delay on british airways from bru to lhr that was due to staff shortages they announced that there was a hour holding delay but they would board us immediately in hopes of clearing the gate and leaving early we had to wait the full hours inside the airplane the plane was old dirty had no power at the seats the staff provided a small bag of pretzels and ml of water to the passengers for hour delay and hour flight there were no options to purchase food or drink there were no entertainment options available i am a oneworld emerald elite member but they do not upgrade members based on status first class lounges at heathrow are overcrowded understaffed and poorly equipped the help desk is completely unhelpful when an error arises with delays and cancellations even when having the top status the avios points system has been devalued to near worthlessness and requires fees to book reward that nearly equal the price of the revenue ticket british has lost its way in recent years and has a moved from a worldclass airline to a budget airline with much worse service and timeliness than ryanair or easyjet,positive
45,Trip Verified,days before the flight we were advised by ba that it had been cancelled and asked us to rebook there were flights hour before and hour after our original flight but they made us take one hours earlier our original ticket and the return flight a week later included a checked bag when we arrive at heathrow to check in we are told our ticket doesnt included a bag and we will have to pay pounds each to take them we explained that the original ticket had the bags and when they checked the system they confirmed that it did but not this one they would make no effort to sort it out and just told us to pay up or they would remove us from the flight so we had no choice but to pay up thinking it should be pretty easy to get a refund months and emails later we have still not seen a penny every time i ask where my refund is and state how long we have been waiting i get an inane email saying some departments take longer than others to respond absolutely hopeless airline to stuff up the booking in the first place and even worse customer service to not even attempt to solve the problem at check in even when they could see the mistake they had made in their system compounded by being be unable to investigate a very simple claim and refund me pounds in months,positive
47,Trip Verified,booked a flight from bucharest to manchester with a h layover at heathrow flight was delayed from bucharest because of atc strike arrived at heathrow minutes later than scheduled and still had enough time to catch my connecting flight unfortunately we were stranded in the plane and waited a very long time to disembark the plane due to lack of staff or slot shortage it s a common problem with ba at heathrow i missed my connecting flight because of their delays and they told me i had to wait all night in a freezing airport for the first flight the next day there was just a shameful food voucher which is a joke considering the ridiculous prices at lhr no accommodation offered and had to sleep in a very cold airport i asked for compensation and they sent me a long text with the same lame excuses that they are sorry but they will not compensate anything i can t imagine a worst airline than ba regarding customer care it is not about money here but rather than the way they treat customers it is the last time in my lifetime that i will be flying this joke of an airline,negative
48,Trip Verified,booked online months ago and the only hitch was replacement aircraft meaning chosen seats were different i was informed of this prior to departure so could amend bag drop at man t wasnt smooth but i suspect that was man fault shuttle boarding was slow and delayed meaning a rush at lhr t the flight to cpt was full but we left more or less on time the cabin was clean and pe was what we expected sufficient leg and arm room plus a few little perks with drinks only complaint is the seats actually recline too far staff were very good during the first few hours of service especially george food was quite tasty but one option wasnt loaded breakfast was also quite tasty and we landed on time the fly in the ointment is both our cases arrived late on the carousel and only later did we notice both had been broken into likely at cpt all in all a pleasant surprise,positive
49,Trip Verified,the flight was on time the crew were polite it was the same story on my outward flight i find that ba in europe is generally pretty good though i regret that they have substituted prosecco for champagne on the list of drinks you can buy in economy so many complaints about ba and other airlines revolve around lost luggage that i never check in bags even for long trips,positive
51,Trip Verified,as an infrequent flyer british airways was always my first choice with some reassurance and comfort of service quality luggage allowance etc in fact i ve never flown with the budget airlines my most recent flight has now changed my view and causes me to reflect on what am i actually getting for my money and is ba what they once were while the flights were around an hour delayed both ways the cabin and ground staff service were ok it is the facilities or lack of that i am most disappointed by the flight was approx and a half hours and the only thing offered was a half cup of water that was poured out and a bite sized banana slice of cake in fact on my return journey i wasn t even offered the water to top it off ba no longer have a media screen from which you can select something to pass the time away there wasn t even the obligatory flight journey the wifi was poor i couldn t even access the shop however for a fee so much more was available this explains bas record profit of bn so the question is what am i paying for i will now for sure opt for the budget airlines they are transparent with what they offer and what you have to pay for which i can decide to choose or not as ba now stands for basic airways i ll go elsewhere and get basic for cheaper,positive
53,Trip Verified,ground crew in heathrow left passengers luggage we had bags the heathrow ground crew left of ours behind after the st two were received the next day the heathrow ground crew lost our rd bag times and we were on the phone with them for over hrs over the course of the week due to this we had to spend on health and beauty items for my wife on our cruise british airways said they might reimburse after months we had to spend in cab fare to barcelona because the bacelona ground crew iberia claimed they had delivered it to us heathrow ground crew made us minutes late arriving back into heathrow after our cruise we actually landed minutes early but those incompetent people still were not ready for us the heathrow ground crew caused us to leave minutes late even though all passengers were boarded and ready minutes before the departure time this will probably mean we will miss our connection in anchorage ba clearly does not care or know how to operate a ground baseshameful ba is a joke and should be embarrassed they cant operate like a normal airline they do not grasp the concept that even a small hiccup can cause mass ripples of chaos to other people,negative
54,Trip Verified,london heathrow to gibraltar on th october i shall start by reference to the booking process i used the ba website to reserve the seat and food the website to be easy to use and clear in every aspect the flight was due to depart from terminal but the passengers were bussed for a good minutes to a different part of the airport where the aircraft was on a stand when boarding the flight the cabincrew kept a very low profile and this was maintained during the entire flight the captain made brief announcements during the flight there was no inflight entertainment the seats were clean and comfortable enough for a short flight the lack of catering was overt other than a tiny bottle of water and an inedible breakfast bar one had to use an online system to order even a drink and of course pay for it too the passengers next to me could not use the online system as it doe not seem to work and the cabin refused to sell them a coffee because of this fault moreover the usb charge points did not work either given the early hour of the flight it is a poor show that there are not even for sale items available from a trolley service the system ba have in place is not good enough the flight arrived ontime the disembarkation was inefficient though and poorly managed and the crew were not to be seen the crew were wearing the new ba uniform and it seems to reflect a downward trend of the airline to be candid there was any difference between this ba service and that of socalled budget rivals on this route ba have a monopoly and so i did not have an option to use the services of a different company,positive
55,Trip Verified,first time flying british airways and i would not hesitate to fly economy with them again flight attendants were pleasant and efficient excellent special meal low sodium comfortable space in economy one of my better flights,positive
60,Trip Verified,i have been using ba for a while now and on average i can not say that i am pretty satisfied ba somehow experience cancellations and delays most of the time second the inflight service is usually weak food portions are small and cabin crew is not very helpful especially when it comes to drink requests the screens in the a s should be renewed as they are full of scratches and same size as a s especially in longer flights the entertainment system becomes more important there is also no welcome package except for pillow and small blanket i would expect more from ba if you are flying from the us to anywhere except the uk i would recommend considering other airlines but if you are flying tofrom uk directly then ba could be one of your choices,positive
61,Trip Verified,i flew from istanbul to london in business class for more than half of the flight a child was watching an ipad very loud with no phones plugged in it was three rows in front of me and disrupted my flight as i could hear it above my headphones staff thought this was fine and refused to tell the mom to turn it down why is this acceptable on a flight especially in business class has this airline turned into a zoo are staff given no training in customer service why is a child allowed to disrupt other passengers when i told the staff she just laughed at me ba customer service is a disgrace ive not even mentioned the food but it was bad really bad,negative
